week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits
13-03-2017,9546.12,0,118.82,0,2128.64,220.45,5505.79,0,0,104625.69,0,0,0,0,0,0,0,0,29348,0,62286
20-03-2017,10549.83,0,677.72,0,3033.53,3519.68,3708.69,0,0,141746.59,0,0,0,0,0,0,0,0,28886,20453,61453
27-03-2017,8142.21,0,9300.43,0,2914.77,18928.29,3506.24,0,9000,192807.12,0,0,0,0,0,0,0,0,8568,450,54879
03-04-2017,7899.47,0,17384.78,0,2834.34,22754.14,4155.89,0,10500,84304.4,0,0,0,0,0,0,0,0,32413,1719,60514
10-04-2017,7428.49,0,17145.13,0,2846.18,8331.12,5088.03,0,0,70002.64,0,0,0,0,0,0,0,0,54916,18353,56069
17-04-2017,7891.39,0,17246.06,0,2788.78,9315.87,5127.34,0,0,365.28,0,0,0,0,0,0,0,0,32644,4654,55213
24-04-2017,7707.23,0,12175.5,0,2770.82,11579.46,5003.66,0,4650,3472.8,0,0,0,0,0,0,0,0,32394,3126,52285
01-05-2017,7403.25,0,8220.86,0,2741.71,10087.32,4384.55,0,18000,162625.22,0,0,0,0,0,0,0,0,31680,0,50412
08-05-2017,6690.02,0,9413.43,0,2766.15,5790.86,4381.68,0,2500,134940.57,0,0,0,0,0,0,0,0,26400,16714,47103
15-05-2017,657.58,0,7289.31,0,2740.7,3336.48,4641.91,0.01,7550,111983.42,0,0,0,0,0,0,0,0,38453,3089,47660
22-05-2017,444.54,0.05,5674.47,0,2756.55,2794.47,3364.62,0,0,96277.97,0,0,0,0,0,0,0,0,56026,45804,40196
29-05-2017,502.69,5162.79,2435.48,0,2732.15,419.43,4918.45,0.01,33340.27,2091.1,0,0,0,0,0,0,0,0,14023,634,49088
05-06-2017,451.11,3691.03,2591.29,0,2883.75,455.28,4977.2,0,0,2091.1,0,0.01,0,0,0,0,0,0,31635,0,52800
12-06-2017,237.08,9.31,4379.67,0,2725.2,405.03,4593.65,0,0,2091.1,0,0,0,0,0,0,0,0,57181,18649,52376
19-06-2017,159.28,7.15,2159.59,0,1553.17,427.86,4227.63,0,5000,2091.1,0,0,0,0,0,0,0,0,31013,0,62372
26-06-2017,111.18,11583.74,772.81,0,15679.22,4057.8,4610.6,0,0,0,0,0,0,0,0,0,0,0,34981,28013,66442
03-07-2017,0,0,0,0,0,0,4383.95,0,13650,0,0,0,0,0,0,0,0,0,93414,55320,60736
10-07-2017,0,0,0,0,0,0,4434.13,0,2500,0,0,0,0,0,0,0,0,0,78512,33774,57838
17-07-2017,0,0,0,0,0,0,4228.34,0,0,0,0,0,0,0,0,0,0,0,104528,50811,75935
24-07-2017,0,0,0,0,0,0,3995.46,0,0,0,0,0,0,0,0,0,0,0,42057,8250,82916
31-07-2017,0,0,0,0,0,0,3823.48,0,0,71917.06,0,0,0,0,0,0,0,0,70379,30898,100342
07-08-2017,0,0,0,0,0,0,3876.39,0,0,75929.55,0,0,0,0,0,0,0,0,18070,0,89876
14-08-2017,0,0,0,0,0,0,4002.6,0,0,68629.54,0,0,0,0,0,0,0,0,114953,29284,94523
21-08-2017,0,0,0,0,0,0,5418.27,0,0,79172.71,0,0,0,0,0,0,0,0,13331,0,76439
28-08-2017,0,0,0,0,0,0,6322.64,0,20590.27,0,0,0,0,0,0,0,0,0,47436,5354,76574
04-09-2017,0,0,0,0,1012.699275,0,3331.07,0,8100,2482.84,0,0,0,0,0,0,0,0,52358,33192,71676
11-09-2017,0,0,0,0,2345.91426,0,4361.59,0,0,2482.84,0,0,0,0,0,0,0,0,63588,8809,82400
